,x,y
0,-9.0,-9.0
1,-9.0,-8.0
2,-9.0,-7.0
3,-9.0,-6.0
4,-9.0,-5.0
5,-9.0,-4.0
6,-9.0,-3.0
7,-9.0,-2.0
8,-9.0,-1.0
9,-9.0,0.0
10,-9.0,1.0
11,-9.0,2.0
12,-9.0,3.0
13,-9.0,4.0
14,-9.0,5.0
15,-9.0,6.0
16,-9.0,7.0
17,-9.0,8.0
18,-9.0,9.0
19,-8.0,-9.0
20,-8.0,-8.0
21,-8.0,-7.0
22,-8.0,-6.0
23,-8.0,-5.0
24,-8.0,-4.0
25,-8.0,-3.0
26,-8.0,-2.0
27,-8.0,-1.0
28,-8.0,0.0
29,-8.0,1.0
30,-8.0,2.0
31,-8.0,3.0
32,-8.0,4.0
33,-8.0,5.0
34,-8.0,6.0
35,-8.0,7.0
36,-8.0,8.0
37,-8.0,9.0
38,-7.0,-9.0
39,-7.0,-8.0
40,-7.0,-7.0
41,-7.0,-6.0
42,-7.0,-5.0
43,-7.0,-4.0
44,-7.0,-3.0
45,-7.0,-2.0
46,-7.0,-1.0
47,-7.0,0.0
48,-7.0,1.0
49,-7.0,2.0
50,-7.0,3.0
51,-7.0,4.0
52,-7.0,5.0
53,-7.0,6.0
54,-7.0,7.0
55,-7.0,8.0
56,-7.0,9.0
57,-6.0,-9.0
58,-6.0,-8.0
59,-6.0,-7.0
60,-6.0,-6.0
61,-6.0,-5.0
62,-6.0,-4.0
63,-6.0,-3.0
64,-6.0,-2.0
65,-6.0,-1.0
66,-6.0,0.0
67,-6.0,1.0
68,-6.0,2.0
69,-6.0,3.0
70,-6.0,4.0
71,-6.0,5.0
72,-6.0,6.0
73,-6.0,7.0
74,-6.0,8.0
75,-6.0,9.0
76,-5.0,-9.0
77,-5.0,-8.0
78,-5.0,-7.0
79,-5.0,-6.0
80,-5.0,6.0
81,-5.0,7.0
82,-5.0,8.0
83,-5.0,9.0
84,-4.0,-9.0
85,-4.0,-8.0
86,-4.0,-7.0
87,-4.0,-6.0
88,-4.0,6.0
89,-4.0,7.0
90,-4.0,8.0
91,-4.0,9.0
92,-3.0,-9.0
93,-3.0,-8.0
94,-3.0,-7.0
95,-3.0,-6.0
96,-3.0,6.0
97,-3.0,7.0
98,-3.0,8.0
99,-3.0,9.0
100,-2.0,-9.0
101,-2.0,-8.0
102,-2.0,-7.0
103,-2.0,-6.0
104,-2.0,6.0
105,-2.0,7.0
106,-2.0,8.0
107,-2.0,9.0
108,-1.0,-9.0
109,-1.0,-8.0
110,-1.0,-7.0
111,-1.0,-6.0
112,-1.0,6.0
113,-1.0,7.0
114,-1.0,8.0
115,-1.0,9.0
116,0.0,-9.0
117,0.0,-8.0
118,0.0,-7.0
119,0.0,-6.0
120,0.0,6.0
121,0.0,7.0
122,0.0,8.0
123,0.0,9.0
124,1.0,-9.0
125,1.0,-8.0
126,1.0,-7.0
127,1.0,-6.0
128,1.0,6.0
129,1.0,7.0
130,1.0,8.0
131,1.0,9.0
132,2.0,-9.0
133,2.0,-8.0
134,2.0,-7.0
135,2.0,-6.0
136,2.0,6.0
137,2.0,7.0
138,2.0,8.0
139,2.0,9.0
140,3.0,-9.0
141,3.0,-8.0
142,3.0,-7.0
143,3.0,-6.0
144,3.0,6.0
145,3.0,7.0
146,3.0,8.0
147,3.0,9.0
148,4.0,-9.0
149,4.0,-8.0
150,4.0,-7.0
151,4.0,-6.0
152,4.0,6.0
153,4.0,7.0
154,4.0,8.0
155,4.0,9.0
156,5.0,-9.0
157,5.0,-8.0
158,5.0,-7.0
159,5.0,-6.0
160,5.0,6.0
161,5.0,7.0
162,5.0,8.0
163,5.0,9.0
164,6.0,-9.0
165,6.0,-8.0
166,6.0,-7.0
167,6.0,-6.0
168,6.0,-5.0
169,6.0,-4.0
170,6.0,-3.0
171,6.0,-2.0
172,6.0,-1.0
173,6.0,0.0
174,6.0,1.0
175,6.0,2.0
176,6.0,3.0
177,6.0,4.0
178,6.0,5.0
179,6.0,6.0
180,6.0,7.0
181,6.0,8.0
182,6.0,9.0
183,7.0,-9.0
184,7.0,-8.0
185,7.0,-7.0
186,7.0,-6.0
187,7.0,-5.0
188,7.0,-4.0
189,7.0,-3.0
190,7.0,-2.0
191,7.0,-1.0
192,7.0,0.0
193,7.0,1.0
194,7.0,2.0
195,7.0,3.0
196,7.0,4.0
197,7.0,5.0
198,7.0,6.0
199,7.0,7.0
200,7.0,8.0
201,7.0,9.0
202,8.0,-9.0
203,8.0,-8.0
204,8.0,-7.0
205,8.0,-6.0
206,8.0,-5.0
207,8.0,-4.0
208,8.0,-3.0
209,8.0,-2.0
210,8.0,-1.0
211,8.0,0.0
212,8.0,1.0
213,8.0,2.0
214,8.0,3.0
215,8.0,4.0
216,8.0,5.0
217,8.0,6.0
218,8.0,7.0
219,8.0,8.0
220,8.0,9.0
221,9.0,-9.0
222,9.0,-8.0
223,9.0,-7.0
224,9.0,-6.0
225,9.0,-5.0
226,9.0,-4.0
227,9.0,-3.0
228,9.0,-2.0
229,9.0,-1.0
230,9.0,0.0
231,9.0,1.0
232,9.0,2.0
233,9.0,3.0
234,9.0,4.0
235,9.0,5.0
